timestamp,eventType,contentId,personId,sessionId,userAgent,userRegion,userCountry
1465413032,VIEW,-3499919498720038879,-8845298781299428018,1264196770339959068,,,
1465412560,VIEW,8890720798209849691,-1032019229384696495,3621737643587579081,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.24 Safari/537.36",NY,US
1465416190,VIEW,310515487419366995,-1130272294246983140,2631864456530402479,,,
1465413895,FOLLOW,310515487419366995,344280948527967603,-3167637573980064150,,,
1465412290,VIEW,-7820640624231356730,-445337111692715325,5611481178424124714,,,
1465413742,VIEW,310515487419366995,-8763398617720485024,1395789369402380392,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36",MG,BR
1465415950,VIEW,-8864073373672512525,3609194402293569455,1143207167886864524,,,
1465415066,VIEW,-1492913151930215984,4254153380739593270,8743229464706506141,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36",SP,BR
1465413762,VIEW,310515487419366995,344280948527967603,-3167637573980064150,,,
1465413771,VIEW,3064370296170038610,3609194402293569455,1143207167886864524,,,
1465413864,VIEW,310515487419366995,3609194402293569455,1143207167886864524,,,
1465415229,VIEW,3460026829794173084,1908339160857512799,9121879357144259163,,,
1465415228,VIEW,3460026829794173084,1908339160857512799,9121879357144259163,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36",SP,BR
1465415691,VIEW,7763750328910542816,1908339160857512799,9121879357144259163,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36",SP,BR
1465413171,VIEW,2372438485070148864,7781822014935525018,-8307903816792524795,,,
1465415259,VIEW,-348408475077850711,8239286975497580612,8524822173689882396,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.84 Safari/537.36",SP,BR
1465415623,VIEW,372531153711028286,8239286975497580612,8524822173689882396,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.84 Safari/537.36",SP,BR
1465412288,VIEW,-7820640624231356730,-445337111692715325,5611481178424124714,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36",MG,BR
1465415693,VIEW,6521856301289868251,2766187446275090740,247949759466213096,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36",MG,BR
1465415691,VIEW,-8142426490949346803,1908339160857512799,9121879357144259163,,,
1465416196,VIEW,310515487419366995,-1130272294246983140,2631864456530402479,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36",SP,BR
1465415431,VIEW,7943088471380012839,8239286975497580612,8524822173689882396,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.84 Safari/537.36",SP,BR
1465415060,VIEW,-1492913151930215984,4254153380739593270,8743229464706506141,,,
1465413743,VIEW,310515487419366995,-8763398617720485024,1395789369402380392,,,
1465415565,VIEW,1441248639512899483,8239286975497580612,8524822173689882396,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.84 Safari/537.36",SP,BR
1465413879,BOOKMARK,310515487419366995,3609194402293569455,1143207167886864524,,,
1465415695,VIEW,7763750328910542816,1908339160857512799,9121879357144259163,,,
1465413954,BOOKMARK,310515487419366995,-8763398617720485024,1395789369402380392,,,
1465413735,VIEW,-1492913151930215984,3609194402293569455,1143207167886864524,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36",SP,BR
1465414324,VIEW,4306804750094230211,-1479311724257856983,5326691377159417610,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.75 Safari/537.36",SP,BR
1465413771,VIEW,3064370296170038610,3609194402293569455,1143207167886864524,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36",SP,BR
1465413781,VIEW,1582315529508020223,3609194402293569455,1143207167886864524,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36",SP,BR
1465413864,VIEW,310515487419366995,3609194402293569455,1143207167886864524,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36",SP,BR
1465415756,LIKE,-8142426490949346803,1908339160857512799,9121879357144259163,,,
1465413046,VIEW,-3499919498720038879,-8845298781299428018,1264196770339959068,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36",SP,BR
1465415686,VIEW,6521856301289868251,2766187446275090740,247949759466213096,,,
1465413867,LIKE,310515487419366995,3609194402293569455,1143207167886864524,,,
1465413873,BOOKMARK,310515487419366995,344280948527967603,-3167637573980064150,,,
1465415690,VIEW,-8142426490949346803,1908339160857512799,9121879357144259163,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36",SP,BR
1465415949,VIEW,-8864073373672512525,3609194402293569455,1143207167886864524,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36",SP,BR
1465413845,LIKE,310515487419366995,344280948527967603,-3167637573980064150,,,
1465413689,VIEW,-7820640624231356730,-108842214936804958,4983461623404374015,,,
1465413735,VIEW,-1492913151930215984,3609194402293569455,1143207167886864524,,,
1465413946,LIKE,310515487419366995,-8763398617720485024,1395789369402380392,,,
1465414478,VIEW,-1492913151930215984,7022645187549453002,-633794268364965365,,,
1465413752,VIEW,-5924996404988010,6879394870211872116,4146849401428496933,,,
1465414324,VIEW,4306804750094230211,-1479311724257856983,5326691377159417610,,,
1465415574,VIEW,1441248639512899483,8239286975497580612,8524822173689882396,,,
1465414493,VIEW,-1492913151930215984,7022645187549453002,-633794268364965365,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36",RJ,BR
1465413751,VIEW,-5924996404988010,6879394870211872116,4146849401428496933,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36",SP,BR
1465413689,VIEW,-7820640624231356730,-108842214936804958,4983461623404374015,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36",SP,BR
1465413781,VIEW,1582315529508020223,3609194402293569455,1143207167886864524,,,
1465413762,VIEW,310515487419366995,344280948527967603,-3167637573980064150,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36",MG,BR
1465412561,VIEW,8890720798209849691,-1032019229384696495,3621737643587579081,,,
1465413171,VIEW,2372438485070148864,7781822014935525018,-8307903816792524795,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36",SP,BR
1465415430,VIEW,7943088471380012839,8239286975497580612,8524822173689882396,,,
1465413763,LIKE,-1492913151930215984,3609194402293569455,1143207167886864524,,,
1466034854,VIEW,-4205346868684833897,-1387464358334758758,5111485313337394011,Android - Native Mobile App,SP,BR
1466034403,VIEW,-4205346868684833897,-1387464358334758758,5111485313337394011,Android - Native Mobile App,SP,BR
1466033932,VIEW,7276478113479207148,3609194402293569455,-5431306901276377931,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0,SP,BR
1466034236,VIEW,-4205346868684833897,-1387464358334758758,5111485313337394011,Android - Native Mobile App,SP,BR
1466034456,COMMENT CREATED,-4205346868684833897,-1387464358334758758,5111485313337394011,,,
1466034895,COMMENT CREATED,-4205346868684833897,-1387464358334758758,5111485313337394011,,,
1466033622,VIEW,3492139128548911513,-8424644554119645763,-1573551387441998743,,,
1466034855,VIEW,-4205346868684833897,-1387464358334758758,5111485313337394011,,,
1466033617,VIEW,3492139128548911513,-8424644554119645763,-1573551387441998743,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36",SP,BR
1466034780,VIEW,-4205346868684833897,-1032019229384696495,-5537786999103108189,,,
